"LSOA11CD","class","total_length"
"W01000242","Not Classified",1
"W01000242","B Road",0.664
"W01000243","Not Classified",1.133
"W01000243","A Road",1.766
"W01000243","Unclassified",9.469
"W01000244","Not Classified",0.183
"W01000244","A Road",1.475
"W01000244","Unclassified",6.148
"W01000245","Unclassified",7.084
"W01000245","A Road",2.342
"W01000245","Not Classified",4.307
"W01000246","B Road",2.161
"W01000246","Not Classified",1.67
"W01000246","A Road",1.953
"W01000246","Unclassified",7.16
"W01000247","B Road",5.46
"W01000247","A Road",5.533
"W01000247","Unclassified",28.125
"W01000247","Not Classified",25.291
"W01000248","Not Classified",22.445
"W01000248","Unclassified",67.851
"W01000248","B Road",10.103
"W01000248","A Road",11.593
"W01000249","Unclassified",3.397
"W01000249","Not Classified",0.283
"W01000250","Not Classified",1.652
"W01000250","Unclassified",5.03
"W01000250","A Road",3.576
"W01000251","A Road",0.369
"W01000251","B Road",0.227
"W01000251","Unclassified",3.459
"W01000252","A Road",1.269
"W01000252","B Road",0.311
"W01000252","Unclassified",6.964
"W01000252","Not Classified",1.222
"W01000253","A Road",0.893
"W01000253","Not Classified",0.579
"W01000253","Unclassified",8.943
"W01000254","A Road",3.269
"W01000254","Not Classified",2.095
"W01000254","Unclassified",11.792
"W01000255","Not Classified",20.194
"W01000255","B Road",0.682
"W01000255","Unclassified",13.553
"W01000255","A Road",4.234
"W01000256","A Road",3.076
"W01000256","Not Classified",1.713
"W01000256","Unclassified",4.993
"W01000257","Unclassified",6.146
"W01000257","Not Classified",0.261
"W01000257","A Road",0.186
"W01000258","Not Classified",8.96
"W01000258","B Road",2.977
"W01000258","Unclassified",22.588
"W01000258","A Road",4.848
"W01000259","Unclassified",3.668
"W01000259","A Road",2.527
"W01000259","Not Classified",1.774
"W01000260","Not Classified",0.167
"W01000260","Unclassified",4.252
"W01000261","Not Classified",0.193
"W01000261","A Road",0.855
"W01000261","Unclassified",3.317
"W01000262","Unclassified",3.709
"W01000262","Not Classified",0.857
"W01000262","A Road",0.121
"W01000263","Not Classified",0.131
"W01000263","Unclassified",2.647
"W01000264","A Road",0.239
"W01000264","Not Classified",1.753
"W01000264","B Road",0.078
"W01000264","Unclassified",4.534
"W01000265","Unclassified",5.387
"W01000265","A Road",1.483
"W01000265","Not Classified",1.594
"W01000266","A Road",0.164
"W01000266","Unclassified",3.856
"W01000266","Not Classified",0.419
"W01000266","B Road",0.697
"W01000267","A Road",0.065
"W01000267","Unclassified",5.83
"W01000267","Not Classified",0.333
"W01000268","B Road",0.812
"W01000268","Unclassified",5.607
"W01000268","Not Classified",1.123
"W01000269","A Road",1.791
"W01000269","Not Classified",0.828
"W01000269","Unclassified",3.953
"W01000270","Not Classified",13.063
"W01000270","Unclassified",32.387
"W01000270","A Road",2.409
"W01000270","B Road",2.813
"W01000271","Unclassified",20.312
"W01000271","B Road",4.726
"W01000271","Not Classified",9.322
"W01000271","A Road",2.241
"W01000272","B Road",0.501
"W01000272","A Road",7.942
"W01000272","Unclassified",47.989
"W01000272","Not Classified",26.202
"W01000273","B Road",0.256
"W01000273","Not Classified",0.046
"W01000273","Unclassified",3.844
"W01000274","Not Classified",6.82
"W01000274","A Road",0.351
"W01000274","Unclassified",4.741
"W01000274","B Road",0.857
"W01000275","B Road",1.069
"W01000275","Not Classified",8.178
"W01000275","A Road",2.414
"W01000275","Unclassified",3.608
"W01000276","Unclassified",2.851
"W01000277","Not Classified",0.25
"W01000277","Unclassified",5.414
"W01000278","Unclassified",1.71
"W01000278","B Road",0.242
"W01000279","B Road",0
"W01000279","Not Classified",0.251
"W01000279","Unclassified",3.044
"W01000280","Unclassified",5.236
"W01000280","Not Classified",0.206
"W01000281","Unclassified",2.953
"W01000281","B Road",0.232
"W01000282","B Road",0.909
"W01000282","Unclassified",3.907
"W01000283","Unclassified",6.879
"W01000283","B Road",0.872
"W01000283","Not Classified",10.278
